Type,Solr Schema Field,C# Field / Enum Name,Data Type,Indexed,Retrievable,Required,Multi Valued,IsCopyField,CFType,IsUniqueKey,Source,isSelfCopy
General Search,id,Id,string,1,1,1,,,,1,,
General Search,contributorid,ContributorId,lowercase,1,1,,,,,,,
General Search,description,Description,text_da,,1,,,,,,,
General Search,contributorname,ContributorName,lowercase,1,1,,,,,,,
General Search,imagesJson,ImagesJson,string,,1,,,,,,,
GQL Fields,websiteId,WebsiteId,int,1,1,1,0,,,,,
General Search,firstname,FirstName,lowercase,1,1,,,,,,,
General Search,lastname,LastName,lowercase,1,1,,,,,,,
General Search,searchname,SearchName,lowercase,1,1,,,,,,,
General Search,lastUpdated,LastUpdated,date,,1,1,,,,,,
General Search,exactmatchfield,ExactMatch,exact_match,1,1,,1,,,,,
General Search,substringfield,SubstringField,substring_match,1,1,,1,,,,,
General Search,exactmatchfield,ExactMatch,exact_match,1,1,,1,1,exact_match,,contributorname,1
General Search,substringfield,substringfield,substringfield,1,1,,1,1,substringfield,,contributorname,1
General Search,contributornameSorting,ContributorNameSorting,,1,0,0,,1,collation_field_da_dk_locale,,contributorname,
General Search,firstnameSorting,FirstNameSorting,,1,0,0,,1,collation_field_da_dk_locale,,firstname,
General Search,lastnameSorting,LastNameSorting,,1,0,0,,1,collation_field_da_dk_locale,,lastname,
